product_name,brand,category,source,enrichment_status
Bolachas crocantes-maçã,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Ginger Nuts Biscuits,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Digestive Delicious Wheat Biscuits,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Penguin,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
sables anglais,McVitie's,Snacks & Namkeen,openfoodfacts,enriched
Digestives the light one cookies,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Hobnobs Oats Biscuit,McVitie's,Biscuits & Bakery,openfoodfacts,not_found
Sable anglais,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Toasting Waffles,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Digestive light,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Soft Bakes Strawberry Filled,belVita,Snacks & Namkeen,openfoodfacts,not_found
Tiger glucose biscuits,Britannia,Biscuits & Bakery,openfoodfacts,enriched
GLUCOSE HIGH ENERGY BISCUITS,Britannia,Biscuits & Bakery,openfoodfacts,not_found
Monaco - Biscuits crackers à l'emmental,Belin,Snacks & Namkeen,openfoodfacts,not_found
Glace Vanille Bourbon,Nestlé,Desserts & Ice Cream,openfoodfacts,not_found
Yaourt à la grecque au lait de brebis sucré à la vanille bourbon,La bergerie,Dairy,openfoodfacts,not_found
Iles flottantes 4x100g,Pâturages,Dairy,openfoodfacts,not_found
Marie gold,Britannia,Biscuits & Bakery,openfoodfacts,not_found
Vita marie gold,Britannia,Biscuits & Bakery,openfoodfacts,enriched
Maliban,Gold marie,Other,openfoodfacts,enriched
Vita Marie Gold Tea time biscuit,Britannia,Biscuits & Bakery,openfoodfacts,not_found
Ida Marie Brut,Weingut Gold,Beverages,openfoodfacts,enriched
Vitamin Marie Gold,Britannia,Biscuits & Bakery,openfoodfacts,not_found
gold marie 165g,maliban,Other,openfoodfacts,not_found
Saucy Noodles Teriyaki,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Saucy Noodles,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Fusian oriental noodles teriyaki,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Pasta oriental sabor pollo,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
CHICKEN NOODLES,Maggi,Instant Foods & Noodles,openfoodfacts,enriched
Saucy Noodles Teriyaki Style,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Fusian Yakisoba classico noodles,Maggi,Instant Foods & Noodles,openfoodfacts,enriched
Magic Asia Instant Noodle Cup Chili 63 gr,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Spaghetti Bolognese,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Beef noodles,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Noodles,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Noodle Cup Duck Taste with Black Pepper & Paprika,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Vegetable Noodles,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Chicken flavoured noodle soup,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Maggi Saucy Noodles Teriyaki,Nestlé,Plant Based Foods And Beverages,openfoodfacts,enriched
Stir Fried Noodles Teriyaki,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Maggi,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Durban Curry Flavoured 2 Minute Noodles,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Hochzeitssuppe,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Magic Asia Nudel Snack Ente,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Saucy Noodles Red Curry,Maggi,Instant Foods & Noodles,openfoodfacts,enriched
Top Ramen Chicken Flavor,Nissin,Instant Foods & Noodles,openfoodfacts,not_found
Top Ramen Masala Noodles,Nissin,Instant Foods & Noodles,openfoodfacts,not_found
Top Ramen - Soy Sauce Flavor,Nissin,Instant Foods & Noodles,openfoodfacts,not_found
Top ramen hot and spicy beef flavor same picante,Nissin,Instant Foods & Noodles,openfoodfacts,not_found
Top ramen the original soy sauce ramen noodle soup,Nissin,Instant Foods & Noodles,openfoodfacts,not_found
Shrimp Ramen Noodle Soup,Top Ramen,Instant Foods & Noodles,openfoodfacts,not_found
"Top Ramen 48 pack, chicken flavor ramen noodle soup",Nissin,Instant Foods & Noodles,openfoodfacts,enriched
Beef Flavor Ramen Noodle Soup With Japanese Sauce,Top Ramen,Instant Foods & Noodles,openfoodfacts,not_found
Magic Masala Noodles,Yippee,Instant Foods & Noodles,openfoodfacts,not_found
Yippee noodles (snack pack),Sunfeast,Biscuits & Bakery,openfoodfacts,not_found
Sunfeast Yippee! masala magic,Sunfeast,Biscuits & Bakery,openfoodfacts,not_found
sunfeast yippee,Sunfeast,Biscuits & Bakery,openfoodfacts,enriched
Noodles,Yippee,Instant Foods & Noodles,openfoodfacts,not_found
Atta Noodles,Yippee,Instant Foods & Noodles,openfoodfacts,not_found
Sunfeast Yippee Noodles,ITC,Snacks & Namkeen,openfoodfacts,enriched
Yippee! noodles mood masala,ITC,Snacks & Namkeen,openfoodfacts,enriched
Yippee Noodles Magic Masala,Sunfeast,Biscuits & Bakery,openfoodfacts,not_found
Yippee noodles magic masala goat,Sunfeast,Biscuits & Bakery,openfoodfacts,enriched
Les classiques - Velouté de 9 légumes,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Knorr Soupe Liquide Douceur à l'Italienne Tomates Mozzarella 1L,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Knorr Soupe Liquide Douceur de 8 Légumes à la Crème Fraîche 30cl,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Velours de tomate à la mozzarella,Knorr,Instant Foods & Noodles,openfoodfacts,enriched
Soupe Douceur 8 Légumes à la Crème Fraîche,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
"Knorr Soupe Liquide Patate Douce, Carottes et Fromage 45cl",Knorr,Instant Foods & Noodles,openfoodfacts,enriched
Velouté Patate Douce & Chèvre et Miel,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Knorr Soupe Déshydratée Paysanne Légumes & Lard 4 Portions,Knorr,Ready-to-Eat,openfoodfacts,not_found
intense rich beef,Knorr,Ready-to-Eat,openfoodfacts,not_found
Knorr Soupe Liquide Légumes du Pot-au-Feu 1L,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Knorr Soupe Liquide Carottes Jaunes et Lait de Coco 450ml,Knorr,Instant Foods & Noodles,openfoodfacts,enriched
Beef stock pot,Knorr,Ready-to-Eat,openfoodfacts,not_found
Knorr Soupe Déshydratée Tomates aux Vermicelles 4 Portions,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Nudle ser w ziołach,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Velouté Potiron & Fourme d'Ambert AOP,Knorr,Ready-to-Eat,openfoodfacts,enriched
Slow cooked Beef,Knorr,Ready-to-Eat,openfoodfacts,enriched
Knorr Comme à La Maison Soupe Liquide Courgette Ricotta Parmesan 45cl,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Knorr Soupe Liquide Douceur de Légumes du Soleil 1L,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Suppenliebe Frühlingssuppe mit Gemüse,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Douceur italienne,Knorr,Sauces & Condiments,openfoodfacts,not_found
Velouté potiron & fourme d'Ambert,Knorr,Ready-to-Eat,openfoodfacts,enriched
Knorr Quick Soup Golden Vegetable,Knorr,Instant Foods & Noodles,openfoodfacts,enriched
Rosół z kury z makaronem,Knorr,Ready-to-Eat,openfoodfacts,enriched
Oinion soup,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Soldatens Ärtsoppa,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Zupa Borowikowa z grzankami,Knorr,Ready-to-Eat,openfoodfacts,not_found
Chilli Chicken Masala Mix,Ching's Secret,Sauces & Condiments,openfoodfacts,not_found
Yippee,Sunfeast,Biscuits & Bakery,openfoodfacts,not_found
Sunfeast yippee 70g,Sunfeast,Biscuits & Bakery,openfoodfacts,enriched
Sunfeast yippee 280g,Sunfeast,Biscuits & Bakery,openfoodfacts,not_found
Yippee tricolour pasta,Sunfeast,Biscuits & Bakery,openfoodfacts,not_found
Tata tea premium,Tata,Beverages,openfoodfacts,enriched
Tata Tea Premium,Tata Tea,Beverages,openfoodfacts,enriched
Red Label Tea Bags,Knightsbridge,Beverages,openfoodfacts,not_found
Red label,Brooke Bond,Beverages,openfoodfacts,enriched
Loose Leaf Black Tea,Red Label,Tea & Coffee,openfoodfacts,enriched
Red label tea,Brooke Bond,Beverages,openfoodfacts,enriched
tea red label,nhte,Beverages,openfoodfacts,not_found
Loose black tea,Red Label,Beverages,openfoodfacts,enriched
Red Label Loose Leaf Black Tea,Brooke Bond,Beverages,openfoodfacts,not_found
Brooke Blond réd label tea powder,Brooke Bond,Other,openfoodfacts,enriched
"Brooke Bond, Red Label Tea",Unilever India Exports Limited,Other,openfoodfacts,not_found
Red Label LOOSE BLACK TEA,Brooke Bond,Other,openfoodfacts,not_found
Instant Masala Tea (Unsweetened),Wagh Bakri,Beverages,openfoodfacts,not_found
Black Tea,Wagh Bakri,Tea & Coffee,openfoodfacts,enriched
Masala Chai Tea Bags,Wagh Bakri,Beverages,openfoodfacts,not_found
Green Tea,Wagh Bakri,Beverages,openfoodfacts,enriched
Instant Cardamom Tea,Wagh Bakri,Tea & Coffee,openfoodfacts,not_found
Instant Ginger Tea,Wagh Bakri,Beverages,openfoodfacts,enriched
Instant tea combo pack,Wagh Bakri,Tea & Coffee,openfoodfacts,not_found
Instant Saffron Tea,Wagh Bakri,Tea & Coffee,openfoodfacts,not_found
Lipton Peche ice tea,Lipton,Beverages,openfoodfacts,not_found
lipton yellow label tea x25,Lipton,Beverages,openfoodfacts,not_found
Yellow Label,Lipton,Beverages,openfoodfacts,enriched
Thé vert myrtille et mûre x 20 sachets,Lipton,Beverages,openfoodfacts,not_found
lipton-ice-tea,Lipton,Beverages,openfoodfacts,not_found
Lipton Ice Tea saveur framboise,Lipton,Beverages,openfoodfacts,not_found
Green tea,Lipton,Beverages,openfoodfacts,not_found
Thé vert Menthe,Lipton,Beverages,openfoodfacts,not_found
Thé glacé pêche pétillant,Lipton,Beverages,openfoodfacts,not_found
Lipton Ice Tea saveur pêche 25 cl,Lipton,Beverages,openfoodfacts,not_found
Duo saveur pêche abricot,Lipton,Beverages,openfoodfacts,not_found
Hibiscus saveur framboise facon infusion glacee,Lipton,Beverages,openfoodfacts,not_found
LIPTON TEA YELLOW,Lipton,Beverages,openfoodfacts,enriched
Lipton Forest fruits,Lipton,Beverages,openfoodfacts,not_found
Peach Iced Tea,Lipton,Beverages,openfoodfacts,enriched
Thé  noir earl grey bergamote,Lipton,Beverages,openfoodfacts,not_found
Green iced tea,Lipton,Beverages,openfoodfacts,not_found
Ice Tea Pêssego,Lipton,Beverages,openfoodfacts,enriched
Nescafe classic,Nescafe,Beverages,openfoodfacts,not_found
Nescafé classic descafeinado,Nestlé,Beverages,openfoodfacts,enriched
Frappe,Nescafe,Beverages,openfoodfacts,enriched
NESCAFE 3 in 1 Classic,Nescafe,Beverages,openfoodfacts,not_found
Nescafe classic,Nestlé,Beverages,openfoodfacts,not_found
Nescafe classic natural,Nestlé,Beverages,openfoodfacts,enriched
Classic crema,Nestlé,Beverages,openfoodfacts,not_found
Nescafé classic 30g,Nescafe,Beverages,openfoodfacts,enriched
Натуральный растворимый порошкообразный кофе NESCAFÉ® CLASSIC CREMA,Nescafe,Beverages,openfoodfacts,not_found
Nescafé Classic,Nestlé,Beverages,openfoodfacts,enriched
Classic descafeinado,Nestlé,Beverages,openfoodfacts,enriched
Nescafé classic- café instantáneo,Nescafe,Beverages,openfoodfacts,enriched
Nescafe Classic Crema,Nestlé,Beverages,openfoodfacts,enriched
NESCAFE CLASSIC 100G TIN EXP 10 / 18 (GR),Nescafe,Beverages,openfoodfacts,enriched
Nescafé Classic Classic Mild Instantkaffee,Nescafe,Beverages,openfoodfacts,not_found
Classic café soluble natural,Nescafe,Beverages,openfoodfacts,not_found
Nescafé classic decaf,Nescafe,Beverages,openfoodfacts,enriched
Nescafe Classic coffee,Nestlé,Plant Based Foods And Beverages,openfoodfacts,not_found
Nescafe Classic Instant Coffee 100g Glass,Nescafe,Tea & Coffee,openfoodfacts,not_found
Coffee Classic,Nescafe,Beverages,openfoodfacts,enriched
Nescafé Clásico,Nescafe,Tea & Coffee,openfoodfacts,enriched
