product_name,brand,category,source,enrichment_status
Shahi Paneer Masala,Everest,Spices & Masala,openfoodfacts,enriched
EVEREST Chhole Masala,Everest,Spices & Masala,openfoodfacts,not_found
Tikka Masala Curry,Everest,Spices & Masala,openfoodfacts,enriched
Sambar Masala,Everest,Spices & Masala,openfoodfacts,enriched
Everest Tandoori Chicken Masala,Everest,Spices & Masala,openfoodfacts,enriched
Chat Masala,Everest,Spices & Masala,openfoodfacts,enriched
Chunky Chat masala,MDH,Spices & Masala,openfoodfacts,not_found
Dal Makhani masala,MDH,Spices & Masala,openfoodfacts,enriched
pulao masala,MDH,Spices & Masala,openfoodfacts,not_found
MDH Dal Makhani Masala,MDH,Ready-to-Eat,openfoodfacts,enriched
T Plus Masala,MDH,Spices & Masala,openfoodfacts,not_found
MDH JAL JEERA MASALA,MDH,Spices & Masala,openfoodfacts,not_found
Karahi Paneer Masala,MDH,Spices & Masala,openfoodfacts,enriched
Stuffed Parantha Masala Spice Blend,MDH,Spices & Masala,openfoodfacts,enriched
Curry Masala for Karahi Gosht,MDH,Spices & Masala,openfoodfacts,enriched
Sindhi Biryani masala,MDH,Spices & Masala,openfoodfacts,not_found
Chhole Masala,Catch,Spices & Masala,openfoodfacts,not_found
Sprinkler Black Pepper,Catch,Spices & Masala,openfoodfacts,not_found
CHICKEN MASALA,Catch,Spices & Masala,openfoodfacts,not_found
SAMBHAR MASALA,Catch,Spices & Masala,openfoodfacts,enriched
Catch Chatpata Chat Masala,Catch,Spices & Masala,openfoodfacts,enriched
KITCHEN KING,Catch,Sauces & Condiments,openfoodfacts,enriched
Catch sabzi masala,Catch,Sauces & Condiments,openfoodfacts,enriched
JALJEERA,Catch,Sauces & Condiments,openfoodfacts,enriched
MEAT MASALA,Catch,Sauces & Condiments,openfoodfacts,not_found
Garam masala,Catch,Spices & Masala,openfoodfacts,enriched
catch Rajma masala,Catch,Sauces & Condiments,openfoodfacts,not_found
Amchur power,Catch,Spices & Masala,openfoodfacts,enriched
Kashmiri mirch power,Catch,Spices & Masala,openfoodfacts,enriched
catch chana masala,Catch,Spices & Masala,openfoodfacts,enriched
catch biryani masala,Catch,Spices & Masala,openfoodfacts,not_found
pav bhaji masala,Catch,Spices & Masala,openfoodfacts,enriched
Madras Sambar Masala,Badshah,Ready-to-Eat,openfoodfacts,not_found
Mélange De Thandai Masala,Badshah,Spices & Masala,openfoodfacts,enriched
Chat Masala,Badshah,Spices & Masala,openfoodfacts,not_found
Tandoori Chicken Masala,Sakthi,Spices & Masala,openfoodfacts,enriched
Chilli Powder,Sakthi,Spices & Masala,openfoodfacts,not_found
Biriyani Masala,Sakthi,Spices & Masala,openfoodfacts,enriched
Super garam masala,Eastern,Spices & Masala,openfoodfacts,enriched
Butter Masala Sauce,Eastern,Sauces & Condiments,openfoodfacts,not_found
Garam Masala,Eastern,Spices & Masala,openfoodfacts,enriched
Spicy Chicken Masala,Eastern,Spices & Masala,openfoodfacts,not_found
Mutton Masala,Eastern,Sauces & Condiments,openfoodfacts,enriched
Beef Ularthu Masala,Eastern,Spices & Masala,openfoodfacts,not_found
Chicken 64 Masala,Eastern,Spices & Masala,openfoodfacts,enriched
Egg Masala Powder,Eastern,Spices & Masala,openfoodfacts,enriched
Chicken Masala Spice Mix,Eastern,Spices & Masala,openfoodfacts,enriched
Chicken Fry Masala,Eastern,Spices & Masala,openfoodfacts,not_found
fortune sun lite sunflower oil 15 litre,Fortune,Grains & Flour,openfoodfacts,enriched
Pro Immunity Multi-source Edible Oil,Fortune,Grains & Flour,openfoodfacts,not_found
100% Sanfflower Oil,Saffola,Cooking Oil,openfoodfacts,not_found
SAFOLA ACTIVE - MULTI-SOURCE EDIBLE OIL,Saffola,Cooking Oil,openfoodfacts,not_found
Saffola Gold,Saffola,Cooking Oil,openfoodfacts,not_found
Saffola gold Blended oil 5 l,Saffola,Cooking Oil,openfoodfacts,enriched
Dhara groundnut oil,Dhara,Cooking Oil,openfoodfacts,enriched
Dhara ground nut oil,Dhara,Cooking Oil,openfoodfacts,enriched
mustard oil,Dhara,Cooking Oil,openfoodfacts,not_found
Kachi Ghani Mustard Oil,Dhara,Cooking Oil,openfoodfacts,enriched
Kachi Ghani Mustard Oil,Dhãra,Plant Based Foods And Beverages,openfoodfacts,enriched
Dhara Refined Sunflower oil 5l,Dhara,Cooking Oil,openfoodfacts,enriched
Blended Edible Vegetable multi source oil,Sundrop,Cooking Oil,openfoodfacts,enriched
Sundrop Heart blnd edbl oil 1ltr,Sundrop,Cooking Oil,openfoodfacts,enriched
sundrop oil,Sundrop,Cooking Oil,openfoodfacts,enriched
Water buffalo butter,Amul,Dairy,openfoodfacts,enriched
Butter Unsalted,Amul,Dairy,openfoodfacts,enriched
amul butter,Amul,Dairy,openfoodfacts,enriched
Water Buffalo And Cow Milk Butter,Amul,Dairy,openfoodfacts,not_found
Amul masti spiced butter milk,Amul,Dairy,openfoodfacts,enriched
Pure ghee clarified butter,Amul,Dairy,openfoodfacts,not_found
Amul cheese block,Amul,Dairy,openfoodfacts,enriched
Cheese Cube,Amul,Dairy,openfoodfacts,enriched
Amul cheese spread,Amul,Dairy,openfoodfacts,enriched
Cheese block,Amul,Dairy,openfoodfacts,enriched
Ginger Paste,Mother's Dairy,Other,openfoodfacts,enriched
Badam Flavoured Milk,Nandini,Beverages,openfoodfacts,not_found
Shubham,Nandini,Dairy,openfoodfacts,enriched
Nandini Good Life,Nandini,Dairy,openfoodfacts,enriched
Nandini Paneer,Nandini,Dairy,openfoodfacts,enriched
goodlife slim,Nandini,Dairy,openfoodfacts,not_found
Toned Milk,Nandini,Dairy,openfoodfacts,enriched
Slim UHT Sterilised Skimmed Milk,Nandini,Dairy,openfoodfacts,not_found
Santhrupthi Milk,Nandini,Dairy,openfoodfacts,not_found
Fresh Paneer,Verka,Dairy,openfoodfacts,not_found
Cornflakes Mixture,Haldiram's,Snacks & Namkeen,openfoodfacts,not_found
Gujarati Mixture Namkeen,Haldiram's,Snacks & Namkeen,openfoodfacts,enriched
taka-tak,Haldiram's,Snacks & Namkeen,openfoodfacts,not_found
Khatta Meetha 440g,Haldiram's,Snacks & Namkeen,openfoodfacts,enriched
Knocking korean,Bingo,Snacks & Namkeen,openfoodfacts,enriched
Uncle Saba’s Lentil and chickpea chips,Uncle Saba’s lentil and chickpea chips,Snacks & Namkeen,openfoodfacts,not_found
Xtreme Butter,ACT II,Snacks & Namkeen,openfoodfacts,not_found
ACT II popcorn butter delight,ACT II,Snacks & Namkeen,openfoodfacts,enriched
Popcorn butter,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Act II sabor Mantequilla,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Butter Microwave Popcorn,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Xtreme Butter Microwave Popcorn,ACT II,Snacks & Namkeen,openfoodfacts,not_found
ACT II Butter Lovers Flavour,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Popcorn,ACT II,Snacks & Namkeen,openfoodfacts,not_found
ACT II Microwave Popcorn Butter Lover's Flavour,ACT II,Snacks & Namkeen,openfoodfacts,enriched
Sweet & Salty Kettle Corn,ACT II,Snacks & Namkeen,openfoodfacts,enriched
Light Butter Flavour Microwave Popcorn,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Act 2 popcorn butter flavour,ACT II,Snacks & Namkeen,openfoodfacts,enriched
ACT II Popcorn,ACT II,Snacks & Namkeen,openfoodfacts,enriched
Microwave Popcorn Buttery Flavour,ACT II,Snacks & Namkeen,openfoodfacts,enriched
ACT II Salted Microwave Popcorn,ACT II,Snacks & Namkeen,openfoodfacts,enriched
ACT II Simply Salted popcorn,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Munchies Orange,Nestlé,Snacks & Namkeen,openfoodfacts,not_found
Munchies Easter Egg,Nestlé,Snacks & Namkeen,openfoodfacts,enriched
Flamin' Hot Snack Mix,Munchies,Snacks & Namkeen,openfoodfacts,not_found
Arachides enrobés croquantes,Munchies,Other,openfoodfacts,enriched
Honey roasted peanuts,Frito Lay Munchies,Plant Based Foods And Beverages,openfoodfacts,enriched
Munchies Cookie Dough,Nestlé,Other,openfoodfacts,not_found
Bikaneri bhujia,Bikaji,Snacks & Namkeen,openfoodfacts,not_found
Bikaji aloo bhujia 1kg,Bikaji,Snacks & Namkeen,openfoodfacts,enriched
Aloo Bhujia Tana-Tan,Bikaji,Snacks & Namkeen,openfoodfacts,not_found
bikaji bikaneri bhujia 400g,Bikaji,Snacks & Namkeen,openfoodfacts,enriched
Potato Chips Mint Pudina,Balaji,Snacks & Namkeen,openfoodfacts,not_found
Potato chips,Balaji,Snacks & Namkeen,openfoodfacts,enriched
Balaji Wafers Rumbles Potato Chips Pudina Twist flavour,Balaji,Snacks & Namkeen,openfoodfacts,not_found
Crunchem Pizzy Masala,Balaji,Snacks & Namkeen,openfoodfacts,not_found
Crunchem,Balaji,Snacks & Namkeen,openfoodfacts,not_found
Good day,Britannia,Snacks & Namkeen,openfoodfacts,not_found
GOOD DAY CHOCO COOKIES,Britannia,Biscuits & Bakery,openfoodfacts,enriched
"Britannia, Good Day, Butter Cookies",Britannia,Snacks & Namkeen,openfoodfacts,not_found
Good Day Psta-Almond Cookies,Britannia,Biscuits & Bakery,openfoodfacts,enriched
Good Day Rich Pistachio and Almond Cookies,Britannia,Biscuits & Bakery,openfoodfacts,enriched
Good Day Chocochip Cookies,Britannia,Biscuits & Bakery,openfoodfacts,enriched
Good day - Cashew Cookies,Britannia,Snacks & Namkeen,openfoodfacts,not_found
Britannia Good day pistachio almond cookies,Britannia,Biscuits & Bakery,openfoodfacts,enriched
Good Day - Pistachio & Almond Cookies,Britannia,Biscuits & Bakery,openfoodfacts,enriched
Oreo Cream Biscuit,Cadbury,Snacks & Namkeen,openfoodfacts,not_found
Cricket Edition Oreo Original,Cadbury,Chocolates & Confectionery,openfoodfacts,not_found
Bolachas crocantes-maçã,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Ginger Nuts Biscuits,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Digestive Delicious Wheat Biscuits,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Penguin,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Digestive,McVitie's,Snacks & Namkeen,openfoodfacts,enriched
sables anglais,McVitie's,Snacks & Namkeen,openfoodfacts,enriched
Sablés angais l’original,McVitie's,Snacks & Namkeen,openfoodfacts,enriched
Digestives the light one cookies,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Hobnobs Oats Biscuit,McVitie's,Biscuits & Bakery,openfoodfacts,not_found
Sable anglais,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Toasting Waffles,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Golden Oat,McVitie's,Snacks & Namkeen,openfoodfacts,enriched
Digestive light,McVitie's,Snacks & Namkeen,openfoodfacts,not_found
Soft Bakes Strawberry Filled,belVita,Snacks & Namkeen,openfoodfacts,not_found
Tiger glucose biscuits,Britannia,Biscuits & Bakery,openfoodfacts,enriched
GLUCOSE HIGH ENERGY BISCUITS,Britannia,Biscuits & Bakery,openfoodfacts,not_found
Monaco - Biscuits crackers à l'emmental,Belin,Snacks & Namkeen,openfoodfacts,not_found
Glace Vanille Bourbon,Nestlé,Desserts & Ice Cream,openfoodfacts,not_found
Yaourt à la grecque au lait de brebis sucré à la vanille bourbon,La bergerie,Dairy,openfoodfacts,not_found
Iles flottantes 4x100g,Pâturages,Dairy,openfoodfacts,not_found
