Product Name,Brand,Failure Reason,Attempted Sources
Nescafi,Nescafe,0 images collected,all
Coffee Classic,Nescafe,0 images collected,all
Nescafe classic 3 in 1,Nescafe,0 images collected,all
Nescafé Clásico,Nescafe,0 images collected,all
Kaffee - Classic Kräftig - löslicher Kaffee,Nescafe,0 images collected,all
Кофе Crema,Nescafe,0 images collected,all
Nescafé classic natural,Nestlé,0 images collected,all
Nescafe classic 200g,Nescafe,0 images collected,all
Bru gold,Bru,0 images collected,all
Coffee,Bru,0 images collected,all
Coffee bottle,Bru,0 images collected,all
Coffee Powder,Bru,0 images collected,all
Bru Coffee 3rs Sachet,Bru,0 images collected,all
BRU GOLD Edition,Fssai,0 images collected,all
Super Strong Blend Coffee,Continental,0 images collected,all
Continental Xtra 200g Jar | Instant Coffee | South Indian Blend with Chicory,CCL Products (India) Limited,0 images collected,all
Continental Xtra Coffee Powder,Continental,0 images collected,all
Xtra instant coffee,Continental,0 images collected,all
Continental Strong,Continental,0 images collected,all
Continental This is Caramel coffee,Continental,0 images collected,all
Malgudi fresh filter coffee,Continental,0 images collected,all
Cappuccino,Continental,0 images collected,all
