Product Name,Brand,Failure Reason,Attempted Sources
Ice tea,Lipton,0 images collected,all
Lipton fruit rouges,Lipton,0 images collected,all
Lipton Peche ice tea,Lipton,0 images collected,all
SAVEUR PECHE ICE TEA,Lipton,0 images collected,all
lipton yellow label tea x25,Lipton,0 images collected,all
Ice Tea Saveur Pêche,Lipton,0 images collected,all
Yellow Label,Lipton,0 images collected,all
Lipton sans sucre,Lipton,0 images collected,all
Thé vert classique,Lipton,0 images collected,all
"Lipton Ice Tea saveur framboise 1,25 L",Lipton,0 images collected,all
Citron-citron vert Ice tea,Lipton,0 images collected,all
Lipton,Lipton,0 images collected,all
Peach Ice Tea,Lipton,0 images collected,all
Lipton Ice Tea saveur pêche,Lipton,0 images collected,all
ice tea saveur framboise,Lipton,0 images collected,all
Thé vert myrtille et mûre x 20 sachets,Lipton,0 images collected,all
Thé glacé pêche sans sucre,Lipton,0 images collected,all
lipton-ice-tea,Lipton,0 images collected,all
Lipton Ice Tea saveur framboise,Lipton,0 images collected,all
Lipton Ice Tea Original Sparkling,Lipton,0 images collected,all
Green tea,Lipton,0 images collected,all
Lipton Liptonic l'original,Lipton,0 images collected,all
Thé vert Menthe,Lipton,0 images collected,all
Thé vert fleur d’oranger mandarine🍊,Lipton,0 images collected,all
Thé glacé pêche pétillant,Lipton,0 images collected,all
Lemon Ice Tea,Lipton,0 images collected,all
Lipton Ice Tea saveur pêche 25 cl,Lipton,0 images collected,all
Lipton peach tea,sodastream,0 images collected,all
Duo saveur pêche abricot,Lipton,0 images collected,all
Lipton Thé 5 Fruits Rouges 20 Sachets,Lipton,0 images collected,all
Hibiscus saveur framboise facon infusion glacee,Lipton,0 images collected,all
Ice tea citron,Lipton,0 images collected,all
Thé noir citron,Lipton,0 images collected,all
Lipton Ice Tea saveur pêche 15 cl,Lipton,0 images collected,all
Pfirsich Ice Tea,Lipton,0 images collected,all
LIPTON TEA YELLOW,Lipton,0 images collected,all
Lipton Forest fruits,Lipton,0 images collected,all
Peach Iced Tea,Lipton,0 images collected,all
Thé  noir earl grey bergamote,Lipton,0 images collected,all
Lipton Ice Tea saveur pêche sans sucres,Lipton,0 images collected,all
Green iced tea,Lipton,0 images collected,all
Lipton Ice Tea PÉTILLANT Citron Citron Vert,Lipton,0 images collected,all
Ice Tea Pêssego,Lipton,0 images collected,all
Nescafé Classic,Nescafe,0 images collected,all
Nescafe classic,Nescafe,0 images collected,all
café soluble Nescafé,Nestlé,0 images collected,all
Nescafé classic descafeinado,Nestlé,0 images collected,all
Frappe,Nescafe,0 images collected,all
NESCAFE 3 in 1 Classic,Nescafe,0 images collected,all
Nescafe' Classic,Nescafe,0 images collected,all
Nescafe classic,Nestlé,0 images collected,all
Nescafe classic natural,Nestlé,0 images collected,all
Classic crema,Nestlé,0 images collected,all
Nescafé classic 30g,Nescafe,0 images collected,all
Натуральный растворимый порошкообразный кофе NESCAFÉ® CLASSIC CREMA,Nescafe,0 images collected,all
Nescafé Classic,Nestlé,0 images collected,all
Classic descafeinado,Nestlé,0 images collected,all
Nescafé classic- café instantáneo,Nescafe,0 images collected,all
Nescafe Classic Crema,Nestlé,0 images collected,all
NESCAFE CLASSIC 100G TIN EXP 10 / 18 (GR),Nescafe,0 images collected,all
Classic crème café soluble natural con crema,Nestlé,0 images collected,all
Nescafé Classic Classic Mild Instantkaffee,Nescafe,0 images collected,all
Classic natural,Nescafe,0 images collected,all
Classic café soluble natural,Nescafe,0 images collected,all
Nescafé classic decaf,Nescafe,0 images collected,all
Nescafe Classic coffee,Nestlé,0 images collected,all
nescafe stick (r) classic 1.9g,Nescafe,0 images collected,all
Nescafe Classic Instant Coffee 100g Glass,Nescafe,0 images collected,all
